Authors,Title,Year,Abstract,Cited by
Kesarwani A.; Das S.; Kisku D.R.; Dalui M.,Dual mode information fusion with pre-trained CNN models and transformer for video-based non-invasive anaemia detection,2024,"Anaemia, caused by low haemoglobin levels, affects billions of people worldwide. India has one of the highest anaemia rates among developing nations, according to WHO data. Non-invasive, low-cost, and accurate anaemia screening technologies are in high demand because invasive methods are expensive and difficult to administer globally. The current effort aims to construct a reliable anaemia detection system by combining cutting-edge computational methods with the age-old practise of imprecise assessment of haemoglobin levels from pallor in palm. The proposed method utilises time-domain analysis to establish the connection between blood haemoglobin concentration and colour changes in the palm caused by pressure application and release. A smartphone camera sensor which records the full event of palm colour changes generated by a customised device is processed and analysed. Some key frames are selected from extracted frames and passed to the pre-trained deep learning models for feature extractions. These features are then passed through vision transformers for classification and regression tasks. This approach have the power of pre-trained models for feature extraction and utilises the flexibility of transformer encoders and MLP networks for efficient and effective representation learning, classification, and regression. Two different approaches are proposed i.e., decision level and feature level fusion. The suggested approach accurately estimates blood haemoglobin levels with RMSE and accuracy of 0.483 and 96.296%, respectively based on 531 video samples of palm evidence. © 2023",
Haines D.D.; Rose S.C.; Cowan F.M.; Mahmoud F.F.; Rizvanov A.A.; Tosaki A.,Leveraging Artificial Intelligence and Modulation of Oxidative Stressors to Enhance Healthspan and Radical Longevity,2025,"This review explores the transformative potentials of artificial intelligence (AI) in promoting healthspan and longevity. Healthspan focuses on enhancing quality of life free from chronic conditions, while longevity defines current lifespan limits within a particular species and encompasses biological aging at multiple levels. AI methodologies—including machine learning, deep learning, natural language processing, robotics, and data analytics—offer unprecedented tools to analyze complex biological data, accelerate biomarker discovery, optimize therapeutic interventions, and personalize medicine. Notably, AI has facilitated breakthroughs in identifying accurate biomarkers of biological age, developing precision medicine approaches, accelerating drug discovery, and enhancing genomic editing technologies such as CRISPR. Further, AI-based analysis of endogenous cytoprotection, especially the activity of molecules such as heme oxygenase, with particular application to hemolytic diseases. AI-driven robotics and automated monitoring systems significantly improve elderly care, lifestyle interventions, and clinical trials, demonstrating considerable potential to extend both healthspan and lifespan. However, the integration of AI into longevity research poses ethical and societal challenges, including concerns over privacy, equitable access, and broader implications of extended human lifespans. Strategic interdisciplinary collaboration, transparent AI methodologies, standardized data frameworks, and equitable policy approaches are essential to responsibly harness AI’s full potential in transforming longevity science and improving human health. © 2025 by the authors.",
Belderrar A.; Hazzab A.,Real-time estimation of hospital discharge using fuzzy radial basis function network and electronic health record data,2021,"Hospital resources are scarce and should be properly distributed and justified. Information about how long patients stays in critical intensive care units can provide significant benefits to hospital management resources and optimal admission planning. In this paper, we propose an approach for estimating intensive care unit length of stay using fuzzy radial basis function neural network model. The predictive performance of the model is compared to others using data collected over 13,587 admissions and 54 predictive factors from five critical units with discharges between 2001 and 2012. The proposed model compared to others demonstrated higher accuracy and better estimations. The three most influential factors in predicting length of stay at the early stage of pre-admission were demographic characteristics, admission type, and the first location within the hospital prior to critical unit admission. We have found about 63% of patients with multiple chronic conditions, stayed significantly longer in hospital. Enabling the proposed prediction model in clinical decision support system may serve as reference tools for communicating with patients and hospital managers. © 2021 Inderscience Enterprises Ltd.. All rights reserved.",29.0
Goodwin T.R.; Demner-Fushman D.,A customizable deep learning model for nosocomial risk prediction from critical care notes with indirect supervision,2020,"Objective: Reliable longitudinal risk prediction for hospitalized patients is needed to provide quality care. Our goal is to develop a generalizable model capable of leveraging clinical notes to predict healthcare-associated diseases 24-96 hours in advance. Methods: We developed a reCurrent Additive Network for Temporal RIsk Prediction (CANTRIP) to predict the risk of hospital acquired (occurring ≥ 48 hours after admission) acute kidney injury, pressure injury, or anemia ≥ 24 hours before it is implicated by the patient's chart, labs, or notes. We rely on the MIMIC III critical care database and extract distinct positive and negative cohorts for each disease. We retrospectively determine the date-of-event using structured and unstructured criteria and use it as a form of indirect supervision to train and evaluate CANTRIP to predict disease risk using clinical notes. Results: Our experiments indicate that CANTRIP, operating on text alone, obtains 74%-87% area under the curve and 77%-85% Specificity. Baseline shallow models showed lower performance on all metrics, while bidirectional long short-term memory obtained the highest Sensitivity at the cost of significantly lower Specificity and Precision. Discussion: Proper model architecture allows clinical text to be successfully harnessed to predict nosocomial disease, outperforming shallow models and obtaining similar performance to disease-specific models reported in the literature. Conclusion: Clinical text on its own can provide a competitive alternative to traditional structured features (eg, lab values, vital signs). CANTRIP is able to generalize across nosocomial diseases without disease-specific feature extraction and is available at https://github.com/h4ste/cantrip.  © Published by Oxford University Press on behalf of the American Medical Informatics Association 2020. This work is written by US Government employees and is in the public domain in the US.",27.0
Meher R.,The 8-Model framework: a strategic roadmap for patient blood management implementation- A critical commentary,2025,[No abstract available],
Walsh F.; Zhenchuk A.; Luthringer C.; Kratz C.; Schweigert F.,How big data analytics can strengthen large-scale food fortification and biofortification decision-making: A scoping review,2025,"Big data analytics have shown great potential to improve decision-making in health, including disease surveillance and healthcare delivery. This scoping review explores how big data supports decision-making in large-scale food fortification (LSFF) and biofortification across the food value chain. Following PRISMA guidelines, we analyzed open-access peer-reviewed literature and gray literature from 2012 to 2022. Given the limited literature, we broadened our search to include big data applications in agriculture and nutrition, aiming to draw relevant insights for LSFF and biofortification. Of 1678 records, 28 mentioned LSFF or biofortification, all published between 2018 and 2022. Overall, most records focused on production (60%) and inputs (19.5%). Notably, 16.7% (n = 7) of records mentioning LSFF or biofortification addressed public health monitoring, compared to 2.3% (n = 45) of those without a mention. Use case examples include blockchain and Internet of Things (IoT) for fortified product traceability, machine learning to predict fortification gaps, and artificial intelligence to analyze anemia prevalence, highlighting opportunities to enhance both production and public health monitoring. Despite this potential, big data use in LSFF and biofortification remains limited. Expanding its use in underexplored areas, such as distribution and regulation, could enhance decision-making, efficiency, and sustainability in LSFF and biofortification. © 2025 The Author(s). Annals of the New York Academy of Sciences published by Wiley Periodicals LLC on behalf of The New York Academy of Sciences.",
Seong H.; Lee K.-S.; Choi Y.; Na D.; Kim J.; Shin H.J.; Ahn K.H.,Explainable artificial intelligence for predicting red blood cell transfusion in geriatric patients undergoing hip arthroplasty: Machine learning analysis using national health insurance data,2024,"This study uses machine learning and population data to analyze major determinants of blood transfusion among patients with hip arthroplasty. Retrospective cohort data came from Korea National Health Insurance Service claims data for 19,110 patients aged 65 years or more with hip arthroplasty in 2019. The dependent variable was blood transfusion (yes vs no) in 2019 and its 31 predictors were included. Random forest variable importance and Shapley Additive Explanations were used for identifying major predictors and the directions of their associations with blood transfusion. The random forest registered the area under the curve of 73.6%. Based on random forest variable importance, the top-10 predictors were anemia (0.25), tranexamic acid (0.17), age (0.16), socioeconomic status (0.05), spinal anesthesia (0.05), general anesthesia (0.04), sex (female) (0.04), dementia (0.03), iron (0.02), and congestive heart failure (0.02). These predictors were followed by their top-20 counterparts including cardiovascular disease, statin, chronic obstructive pulmonary disease, diabetes mellitus, chronic kidney disease, peripheral vascular disease, liver disease, solid tumor, myocardial infarction and hypertension. In terms of max Shapley Additive Explanations values, these associations were positive, e.g., anemia (0.09), tranexamic acid (0.07), age (0.09), socioeconomic status (0.05), spinal anesthesia (0.05), general anesthesia (0.04), sex (female) (0.02), dementia (0.03), iron (0.04), and congestive heart failure (0.03). For example, the inclusion of anemia, age, tranexamic acid or spinal anesthesia into the random forest will increase the probability of blood transfusion among patients with hip arthroplasty by 9%, 7%, 9% or 5%. Machine learning is an effective prediction model for blood transfusion among patients with hip arthroplasty. The high-risk group with anemia, age and comorbid conditions need to be treated with tranexamic acid, iron and/or other appropriate interventions. © 2024 Lippincott Williams and Wilkins. All rights reserved.",
Sharma S.; Dudeja D.,Towards Intelligent Anemia Detection: An Empirical Analysis of Clinical and Imaging-Based Machine Learning Approaches,2025,"Anemia affects more than 1.6 billion people worldwide and remains a critical global health concern due to its impact on oxygen delivery and patient well-being. Conventional diagnostic methods such as complete blood count (CBC) and peripheral blood smear (PBS) analysis, while reliable, are labor-intensive, resource-dependent, and impractical for large-scale screening in low-resource settings. Recent advances in artificial intelligence (AI) and deep learning (DL) provide promising opportunities for automated, accurate, and scalable anemia detection. Unlike prior works that focus solely on reviewing techniques or applying traditional ML models with handcrafted features, this paper makes a dual contribution: (1) it presents a systematic review of machine learning and deep learning approaches for anemia detection, highlighting the evolution from conventional classifiers to CNNs, Vision Transformers, and hybrid multimodal frameworks; and (2) it introduces and empirically validates a fine-tuned ResNet50 model applied to PBS images. The proposed framework achieves state-of-the-art performance with 98% accuracy and a 99.1% F1-score, outperforming several existing methods. In addition, this work identifies key challenges - including dataset scarcity, generalization across diverse imaging conditions, and model interpretability - and outlines future directions such as multimodal fusion, explainable AI, and clinical integration. Together, these contributions advance the development of intelligent and clinically viable anemia detection systems for improved healthcare outcomes. © 2025 IEEE.",
Demagny J.; Roussel C.; Le Guyader M.; Guiheneuf E.; Harrivel V.; Boyer T.; Diouf M.; Dussiot M.; Demont Y.; Garçon L.,Combining imaging flow cytometry and machine learning for high-throughput schistocyte quantification: A SVM classifier development and external validation cohort,2022,"Background: Schistocyte counts are a cornerstone of the diagnosis of thrombotic microangiopathy syndrome (TMA). Their manual quantification is complex and alternative automated methods suffer from pitfalls that limit their use. We report a method combining imaging flow cytometry (IFC) and artificial intelligence for the direct label-free and operator-independent quantification of schistocytes in whole blood. Methods: We used 135,045 IFC images from blood acquisition among 14 patients to extract 188 features with IDEAS® software and 128 features from a convolutional neural network (CNN) with Keras framework in order to train a support vector machine (SVM) blood elements’ classifier used for schistocytes quantification. Finding: Keras features showed better accuracy (94.03%, CI: 93.75-94.31%) than ideas features (91.54%, CI: 91.21-91.87%) in recognising whole-blood elements, and together they showed the best accuracy (95.64%, CI: 95.39-95.88%). We obtained an excellent correlation (0.93, CI: 0.90-0.96) between three haematologists and our method on a cohort of 102 patient samples. All patients with schistocytosis (>1% schistocytes) were detected with excellent specificity (91.3%, CI: 82.0-96.7%) and sensitivity (100%, CI: 89.4-100.0%). We confirmed these results with a similar specificity (91.1%, CI: 78.8-97.5%) and sensitivity (100%, CI: 88.1-100.0%) on a validation cohort (n=74) analysed in an independent healthcare centre. Simultaneous analysis of 16 samples in both study centres showed a very good correlation between the 2 imaging flow cytometers (Y=1.001x). Interpretation: We demonstrate that IFC can represent a reliable tool for operator-independent schistocyte quantification with no pre-analytical processing which is of most importance in emergency situations such as TMA. Funding: None. © 2022 The Author(s)",11.0
Kilic Gunes E.,Artificial intelligence in hematology: current trends and application areas,2025,"This study aims to map the current research trends, application areas, and thematic clusters of artificial intelligence (AI) technologies in hematology. A literature search was conducted in the Web of Science on June 1, 2025, covering the years 1980–2025. A total of 376 original research articles were analyzed using bibliometric techniques, including trend keyword and factor analyses, via the bibliometrix package in R Studio. The USA (n = 111), China (79), the United Kingdom (22), and Germany (21) were the most productive countries, with Harvard University as the leading institution. Keywords revealed research concentration in thrombosis, venous thromboembolism, risk assessment, hematopoietic stem cell transplantation, atrial fibrillation, anticoagulants, morphological analysis, blood management, sepsis, and acute myeloid leukemia. Recent years have shown rising interest in transcriptome, prediction modeling, hematopoietic stem cell transplantation, blood management, thrombosis, venous thromboembolism cancer and COVID-19 related complications. Factor analysis grouped the literature into five clusters: AI and core hematologic diseases, clinical quality improvement, risk prediction using health data, intensive care, and cardiovascular applications. AI demonstrates substantial contributions to diagnostic accuracy, prognostication, and personalized care in hematology. The findings highlight AI’s growing potential in enhancing clinical decision-making and improving patient outcomes through data-driven and genomics-based innovations. © The Author(s) 2025.",
Siddique A.; Khan S.; Terrill T.H.; Mahaptra A.K.; Panda S.S.; Morgan E.R.; Pech-Cervantes A.A.; Randall R.; Singh A.; Batchu P.; Gurrapu P.; van Wyk J.A.,Smart farming with AI: Enhancing anemia detection in small ruminants,2025,"Accurate classification of FAMACHA© scores is essential for assessing anemia in small ruminants and optimizing parasite management strategies in livestock agriculture. The FAMACHA© system categorizes anemia severity on a scale from 1 to 5, where scores 1 and 2 indicate healthy animals, score 3 represents a borderline condition, and scores 4 and 5 indicate severe anemia. In this study, a dataset of 4700 images of the lower eye conjunctiva of young male goats was collected weekly over six months using a Samsung A54 smartphone. Traditional FAMACHA© assessment methods rely on subjective visual examination, which is labor-intensive and susceptible to observer bias. To address this limitation, this study implemented machine learning algorithms to automate FAMACHA© classification, leveraging Support Vector Machine (SVM), Backpropagation Neural Network (BPNN), and Convolutional Neural Network (CNN) models. A comparative analysis of these models was conducted using precision, recall, F1-score, and accuracy metrics. The CNN model demonstrated the highest classification accuracy (97.8 %), outperforming both BPNN and SVM. The SVM model achieved a mean accuracy of 84.6 %, with strong performance in severe anemia detection, but limitations in intermediate classes. The overall accuracy of 84 % attained by the BPNN model provided a balanced tradeoff between precision and recall. The CNN model's superior performance was attributed to its ability to learn spatial and contextual patterns from images, ensuring robust classification across all FAMACHA© categories. These findings underscore CNN's potential as a reliable, scalable solution for automated anemia detection in livestock, facilitating early intervention and improving herd health management. The study also highlights the need for future research to explore ensemble learning approaches and integration with mobile applications for real-time deployment for both commercial and resource-limited livestock producers. © 2025",
Waggiallah H.A.; Al-Garni A.; Ghazwani A.A.M.; Bin Shaya A.S.; Al Shmrany H.; Almosaad Y.M.,The future insights of AI Applications in Hematology diseases diagnosis and prognosis: Review Article; [Perspectivas futuras de las aplicaciones de IA en el diagnóstico y pronóstico de enfermedades hematológicas: artículo de revisión],2025,"Artificial intelligence (AI) is rapidly altering the field of hematology, providing novel approaches to diagnosis, prognosis, and management of hematological illnesses. AI technologies, including machine learning (ML) and deep learning (DL), allow for the analysis of massive volumes of clinical, genetic, and imaging data, resulting in more accurate, rapid, and individualized care. In diagnostic hematology, AI is transforming blood smear analysis, bone marrow aspirations, and genomic profiling by automating cell classification, detecting anomalies, and discovering critical genetic changes associated with blood illnesses. AI-powered models are also improving prognostic skills by predicting disease progression, treatment response, and risk of relapse in illnesses such as leukemia, lymphoma, anemia, and myeloproliferative disorders. Furthermore, AI applications in precision medicine enable clinicians to adapt medicines based on individual genetic profiles, thereby increasing therapeutic success and reducing unwanted effects. The combination of AI and modern technology such as wearable health monitors and real-time diagnostic tools promises to improve patient management by providing proactive care via continuous monitoring and adaptive treatment options. As AI develops, it has enormous potential in hematology, enabling early identification, optimizing treatment regimens, and ultimately improving patient survival and quality of life. This study investigates the future implications of AI applications in hematology, emphasizing their revolutionary impact on diagnosis, prognosis, and individualized treatment techniques. © 2025; Los autores.",
Jahan I.; Ahmed S.; Kaiser M.S.; Hossain M.S.,Anemia Detection Using Explainable Boosting Machine,2026,"Anemia is a condition which is characterized by insufficient red blood cells or hemoglobin. It creates a substantial health concern specially for children and women. Thus, the early and accurate detection of anemia is crucial for starting the treatment process and getting optimal health outcomes. The existing anemia detection technique is expensive and can create human error. To address these obstructions, this study proposes a novel anemia detection model based on Explainable Boosting Machines (EBM). The proposed EBM model, combined with effective data preprocessing and class balancing techniques, demonstrates exceptional performance in anemia detection. The simulation results on an anemia dataset show that the model can get an impressive accuracy of 98.69%, precision of 97.28%, recall of 100%, and f1-score of 98.61%. The EBM’s explainability feature provides valuable insights into the decision-making process, facilitating a better understanding of the factors influencing anemia diagnosis. This study highlights the potential of EBM-based approaches for accurate and efficient anemia detection, ensuring the improved healthcare outcomes. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.",
Ohara T.; Ikeda H.; Sugitani Y.; Suito H.; Huynh V.Q.H.; Kinomura M.; Haraguchi S.; Sakurama K.,Artificial intelligence supported anemia control system (Aisacs) to prevent anemia in maintenance hemodialysis patients,2021,"Anemia, for which erythropoiesis-stimulating agents (ESAs) and iron supplements (ISs) are used as preventive measures, presents important difficulties for hemodialysis patients. Nevertheless, the number of physicians able to manage such medications appropriately is not keeping pace with the rapid increase of hemodialysis patients. Moreover, the high cost of ESAs imposes heavy burdens on medical insurance systems. An artificial-intelligence-supported anemia control system (AISACS) trained using administration direction data from experienced physicians has been developed by the authors. For the system, appropriate data selection and rectification techniques play important roles. Decision making related to ESAs poses a multi-class classification problem for which a two-step classification technique is introduced. Several validations have demonstrated that AISACS exhibits high performance with correct classification rates of 72%–87% and clinically appropriate classification rates of 92%-98%. © The author(s).",26.0
Moreno G.; Camargo A.; Ayala L.; Zimic M.; Del Carpio C.,An Algorithm for the Estimation of Hemoglobin Level from Digital Images of Palpebral Conjunctiva Based in Digital Image Processing and Artificial Intelligence,2024,"Anemia is a common problem that affects a significant part of the world’s population, especially in impoverished countries. This work aims to improve the accessibility of remote diagnostic tools for underserved populations. Our proposal involves implementing algorithms to estimate hemoglobin levels using images of the eyelid conjunctiva and a calibration label captured with a mid-range cell phone. We propose three algorithms: one for calibration label segmentation, another for palpebral conjunctiva segmentation, and the last one for estimating hemoglobin levels based on the segmented images from the previous algorithms. Experiments were performed using a data set of children’s eyelid images and calibration stickers. An L1 norm error of 0.72 g/dL was achieved using the SLIC-GAT model to estimate the hemoglobin level. In conclusion, the integration of these segmentation and regression methods improved the estimation accuracy compared to current approaches, considering that the source of the images was a mid-range commercial camera. The proposed method has the potential for mass screening in low-income rural populations as it is non-invasive, and its simplicity makes it feasible for community health workers with basic training to perform the test. Therefore, this tool could contribute significantly to efforts aimed at combating childhood anemia. © 2024 by the authors of this article.",
Tran T.T.; Yun G.; Kim S.,Artificial intelligence and predictive models for early detection of acute kidney injury: transforming clinical practice,2024,"Acute kidney injury (AKI) presents a significant clinical challenge due to its rapid progression to kidney failure, resulting in serious complications such as electrolyte imbalances, fluid overload, and the potential need for renal replacement therapy. Early detection and prediction of AKI can improve patient outcomes through timely interventions. This review was conducted as a narrative literature review, aiming to explore state-of-the-art models for early detection and prediction of AKI. We conducted a comprehensive review of findings from various studies, highlighting their strengths, limitations, and practical considerations for implementation in healthcare settings. We highlight the potential benefits and challenges of their integration into routine clinical care and emphasize the importance of establishing robust early-detection systems before the introduction of artificial intelligence (AI)-assisted prediction models. Advances in AI for AKI detection and prediction are examined, addressing their clinical applicability, challenges, and opportunities for routine implementation. © The Author(s) 2024.",
Abrisqueta-Costa P.; García-Marco J.A.; Gutiérrez A.; Hernández-Rivas J.Á.; Andreu-Lapiedra R.; Arguello-Tomas M.; Leiva-Farré C.; López-Roda M.D.; Callejo-Mellén Á.; Álvarez-García E.; Loscertales J.,Real-World Evidence on Adverse Events and Healthcare Resource Utilization in Patients with Chronic Lymphocytic Leukaemia in Spain Using Natural Language Processing: The SRealCLL Study,2024,"Objectives: The SRealCLL study described the occurrence of adverse events (AEs) and healthcare resource utilization in patients with chronic lymphocytic leukaemia (CLL) using artificial intelligence in a real-world scenario in Spain. Methods: We collected real-world data on patients with CLL from seven Spanish hospitals between January 2016 and December 2018, focusing on their AE and healthcare service utilization. Data extraction from electronic health records of 385,904 patients was performed using the EHRead® technology, which is based on natural language processing and machine learning. Results: Among the 534 CLL patients finally included, 270 (50.6%) were categorized as watch and wait (W&W), 230 (43.1%) as first-line treatment (1L), and 58 (10.9%) as relapse/refractory with second-line treatment (2L). The median study follow-up periods were 14.4, 8.4, and 6 months for W&W, 1L, and 2L, respectively. The most common antineoplastic treatments were ibrutinib (64.8%) and bendamustine + rituximab (12.6%) in 1L, and ibrutinib (62.1%) and venetoclax (15.5%) in 2L. Among the most frequent AEs, anaemia and thrombocytopenia presented higher rates in the treated groups (1L and 2L) compared with W&W (2.01 and 2.32 vs. 0.93; p ≤ 0.05 and 1.29 and 1.62 vs. 0.42; p ≤ 0.05). Moreover, several AEs, such as major bleeding, digestive symptoms, general symptoms, or Richter syndrome, were more frequent in 1L than W&W (all p ≤ 0.05). No differences were shown between groups in the rates of outpatient visits. However, rates of outpatient visits due to AE were higher in 1L than in W&W (1.07 vs. 0.65, p ≤ 0.05). The rates of patients being hospitalized were higher in the treated groups compared to W&W (1.68 and 1.9 vs. 0.88; p ≤ 0.05), and those due to AE were higher in 1L than W&W (1.23 vs. 0.60; p ≤ 0.05). Conclusions: Patients with CLL in 1L or 2L treatments often require healthcare resources due to AEs, particularly cytopenias. The methodology used in this study likely enabled us to identify higher rates of AEs that may be underreported using other real-world approaches. Addressing AEs with effective agents that maximize patient safety and optimize healthcare resource use is crucial in this typically older and comorbid population. © 2024 by the authors.",
Saputra D.C.E.; Maulana I.; Safitri P.H.; Ratnaningsih T.; Futri I.; Ma’arif A.,Enhancing Anemia Detection with Histogram-Based Gradient Boosting and SMOTE Integration,2025,"Anemia remains a major global health challenge, with conventional diagnostic methods often being invasive, costly, and inaccessible in low-resource settings. Existing AI-based anemia studies primarily rely on large datasets, image modalities, or single-model approaches, yet lack a unified comparative framework using structured hematological data. To address this gap, this study proposes an AI-driven anemia classification framework evaluating five ensemble models, such as Histogram-based Gradient Boosting (HGB), AdaBoost, XGBoost, CatBoost, and Bagging on clinically validated complete blood count (CBC) datasets. The dataset consists of 128 clinically validated CBC samples from Yogyakarta (2020-2021), comprising BTT and IDA cases confirmed via ferritin tests and hemoglobin electrophoresis. Class imbalance was handled using SMOTE, improving model stability and predictive performance. HGB achieved the best results on the anemia dataset after SMOTE (accuracy 0.985, F1-score 0.988, AUC 0.999) and demonstrated strong generalizability on diabetes and heart disease datasets. Its performance benefits from histogram-based binning and robust regularization, enabling efficient training with limited samples. The findings show that integrating HGB with SMOTE provides an accurate, interpretable, and computationally efficient solution for AI-assisted diagnosis, particularly suited for resource-constrained healthcare environments. © 2025 IEEE.",
Smeddinck J.D.; Hussein R.; Bull C.; Foley T.; van Gils M.,Editorial: Supporting sustainable behavior change and empowerment in ubiquitous and learning health systems,2024,[No abstract available],
Bozyel S.; Şimşek E.; Koçyiğit D.; Güler A.; Korkmaz Y.; Şeker M.; Ertürk M.; Keser N.,Artificial Intelligence-Based Clinical Decision Support Systems in Cardiovascular Diseases,2024,"Despite all the advancements in science, medical knowledge, healthcare, and the healthcare industry, cardiovascular disease (CVD) remains the leading cause of morbidity and mortality worldwide. The main reasons are the inadequacy of preventive health services and delays in diagnosis due to the increasing population, the failure of physicians to apply guide-based treatments, the lack of continuous patient follow-up, and the low compliance of patients with doctors’ recommendations. Artificial intelligence (AI)-based clinical decision support systems (CDSSs) are systems that support complex decision-making processes by using AI techniques such as data analysis, foresight, and optimization. Artificial intelligence-based CDSSs play an important role in patient care by providing more accurate and personalized information to healthcare professionals in risk assessment, diagnosis, treatment optimization, and monitoring and early warning of CVD. These are just some examples, and the use of AI for CVD decision support systems is rapidly evolving. However, for these systems to be fully reliable and effective, they need to be trained with accurate data and carefully evaluated by medical professionals. © 2024 Turkish Society of Cardiology. All rights reserved.",
Straw I.; Rees G.; Nachev P.,Sex-Based Performance Disparities in Machine Learning Algorithms for Cardiac Disease Prediction: Exploratory Study,2024,"Background: The presence of bias in artificial intelligence has garnered increased attention, with inequities in algorithmic performance being exposed across the fields of criminal justice, education, and welfare services. In health care, the inequitable performance of algorithms across demographic groups may widen health inequalities. Objective: Here, we identify and characterize bias in cardiology algorithms, looking specifically at algorithms used in the management of heart failure. Methods: Stage 1 involved a literature search of PubMed and Web of Science for key terms relating to cardiac machine learning (ML) algorithms. Papers that built ML models to predict cardiac disease were evaluated for their focus on demographic bias in model performance, and open-source data sets were retained for our investigation. Two open-source data sets were identified: (1) the University of California Irvine Heart Failure data set and (2) the University of California Irvine Coronary Artery Disease data set. We reproduced existing algorithms that have been reported for these data sets, tested them for sex biases in algorithm performance, and assessed a range of remediation techniques for their efficacy in reducing inequities. Particular attention was paid to the false negative rate (FNR), due to the clinical significance of underdiagnosis and missed opportunities for treatment. Results: In stage 1, our literature search returned 127 papers, with 60 meeting the criteria for a full review and only 3 papers highlighting sex differences in algorithm performance. In the papers that reported sex, there was a consistent underrepresentation of female patients in the data sets. No papers investigated racial or ethnic differences. In stage 2, we reproduced algorithms reported in the literature, achieving mean accuracies of 84.24% (SD 3.51%) for data set 1 and 85.72% (SD 1.75%) for data set 2 (random forest models). For data set 1, the FNR was significantly higher for female patients in 13 out of 16 experiments, meeting the threshold of statistical significance (–17.81% to –3.37%; P<.05). A smaller disparity in the false positive rate was significant for male patients in 13 out of 16 experiments (–0.48% to +9.77%; P<.05). We observed an overprediction of disease for male patients (higher false positive rate) and an underprediction of disease for female patients (higher FNR). Sex differences in feature importance suggest that feature selection needs to be demographically tailored. Conclusions: Our research exposes a significant gap in cardiac ML research, highlighting that the underperformance of algorithms for female patients has been overlooked in the published literature. Our study quantifies sex disparities in algorithmic performance and explores several sources of bias. We found an underrepresentation of female patients in the data sets used to train algorithms, identified sex biases in model error rates, and demonstrated that a series of remediation techniques were unable to address the inequities present. ©Isabel Straw, Geraint Rees, Parashkev Nachev.",
Dohál M.; Porvazník I.; Solovič I.; Mokrý J.,"Advancing tuberculosis management: the role of predictive, preventive, and personalized medicine",2023,"Tuberculosis is a major global health issue, with approximately 10 million people falling ill and 1.4 million dying yearly. One of the most significant challenges to public health is the emergence of drug-resistant tuberculosis. For the last half-century, treating tuberculosis has adhered to a uniform management strategy in most patients. However, treatment ineffectiveness in some individuals with pulmonary tuberculosis presents a major challenge to the global tuberculosis control initiative. Unfavorable outcomes of tuberculosis treatment (including mortality, treatment failure, loss of follow-up, and unevaluated cases) may result in increased transmission of tuberculosis and the emergence of drug-resistant strains. Treatment failure may occur due to drug-resistant strains, non-adherence to medication, inadequate absorption of drugs, or low-quality healthcare. Identifying the underlying cause and adjusting the treatment accordingly to address treatment failure is important. This is where approaches such as artificial intelligence, genetic screening, and whole genome sequencing can play a critical role. In this review, we suggest a set of particular clinical applications of these approaches, which might have the potential to influence decisions regarding the clinical management of tuberculosis patients. Copyright © 2023 Dohál, Porvazník, Solovič and Mokrý.",19.0
Abdullah A.; Saddiqi H.A.; Qasim M.; Khitab A.; Khan M.; Ahmad S.,Anemia prediction using gene expression programming (GEP) and explainable artificial intelligence approaches,2025,"Anemia being a global health disorder, affecting millions of people, especially pregnant women, children, and the elderly. Proper and timely diagnosis must be ensured to prevent its adverse effects, but the traditional diagnostic methods are very time-consuming, costly, and subject to human mistakes. This research investigates the application of Gene Expression Programming (GEP), a proven technique in machine learning (ML), in predicting anemia. A publicly available dataset on Kaggle was utilized, with clinical parameters including hemoglobin and red blood cell indices. The hyperparameters of the GEP model were best optimized, and the accuracy rate was 99.30 %. To increase the interpretability of the model, Explainable AI methods Local Interpretable Model-agnostic Explanations (LIME) and Shapley Additive exPlanations (SHAP) were used. The findings revealed that hemoglobin levels and gender were the most significant features for predicting anemia. The work brings into limelight the usefulness of ML-based diagnostic solutions in medicine with dependable, automatic, and interpretable models for classifying anemia. © 2025 Elsevier Ltd",
Nashwan A.J.; Alkhawaldeh I.M.; Shaheen N.; Albalkhi I.; Serag I.; Sarhan K.; Abujaber A.A.; Abd-Alrazaq A.; Yassin M.A.,Using artificial intelligence to improve body iron quantification: A scoping review,2023,"This scoping review explores the potential of artificial intelligence (AI) in enhancing the screening, diagnosis, and monitoring of disorders related to body iron levels. A systematic search was performed to identify studies that utilize machine learning in iron-related disorders. The search revealed a wide range of machine learning algorithms used by different studies. Notably, most studies used a single data type. The studies varied in terms of sample sizes, participant ages, and geographical locations. AI's role in quantifying iron concentration is still in its early stages, yet its potential is significant. The question is whether AI-based diagnostic biomarkers can offer innovative approaches for screening, diagnosing, and monitoring of iron overload and anemia. © 2023 The Author(s)",17.0
